"WHO_CREATED","WHEN_CREATED","WHO_UPDATED","WHEN_UPDATED","CODE","DESCRIPTION","display_order","SEALANT_MATERIAL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","25 MPA CC & AGILIA BLOCK FILL AGENT","25 Mpa Concrete & Agilia Block Fill Agent",10,"25 MPA CONCRETE & AGILIA BLOCK FILL AGENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/4 BT","3/4 Bentonite",20,"3/4 BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 BT","3/8 Bentonite",30,"3/8 BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 BT CHIPS","3/8 Bentonite Chips",40,"3/8 BENTONITE CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 BT HOLE PLUG","3/8 Bentonite Hole Plug",50,"3/8 BENTONITE HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 CHIPS","3/8 Chips",60,"3/8 CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 HOLE PLUG","3/8 Hole Plug",70,"3/8 HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" BT","3/8 Inch Bentonite",80,"3/8 INCH BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" HOLE PLUG","3/8 Inch Hole Plug",90,"3/8 INCH HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" BT","3/8"" Bentonite",100,"3/8"" BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" HOLDPLUG","3/8"" Holdplug",110,"3/8"" HOLDPLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" HOLE PLUG.","3/8"" Hole Plug.",120,"3/8"" HOLE PLUG."
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","30% SOLIDS BT GR","30% Solids Bentonite Grout",130,"30% SOLIDS BENTONITE GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","AS ABOVE","As Above",140,"AS ABOVE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BACK FILLED","Back Filled",150,"BACK FILLED"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BARITE GR","Barite Grout",160,"BARITE GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Benonite",170,"BENONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT NATIVE MATERIAL","Benonite Native Material",180,"BENONITE NATIVE MATERIAL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BENSEAL","Benseal",190,"BENSEAL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BENSEAL CLAY","Benseal Clay",200,"BENSEAL CLAY"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Bent",210,"BENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT CHIPS","Bent Chips",220,"BENT CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Bentionite",230,"BENTIONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Bentonite",240,"BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT & CM","Bentonite & Cement",250,"BENTONITE & CEMENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT & CC","Bentonite & Concrete",260,"BENTONITE & CONCRETE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT & GR","Bentonite & Grout",270,"BENTONITE & GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT & SAND","Bentonite & Sand",280,"BENTONITE & SAND"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT (125 BAGS)","Bentonite (125 Bags)",290,"BENTONITE (125 BAGS)"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT 20%","Bentonite 20%",300,"BENTONITE 20%"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT AND GRAVEL","Bentonite And Gravel",310,"BENTONITE AND GRAVEL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT CM","Bentonite Cement",320,"BENTONITE CEMENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT CHIP","Bentonite Chip",330,"BENTONITE CHIP"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT CHIPS","Bentonite Chips",340,"BENTONITE CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT CLAY","Bentonite Clay",350,"BENTONITE CLAY"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT GR","Bentonite Frout",360,"BENTONITE FROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT GR","Bentonite Grount",370,"BENTONITE GROUNT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT GR","Bentonite Grout",380,"BENTONITE GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT PELLETS","Bentonite Pellets",390,"BENTONITE PELLETS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT/BIRDS EYE GRAVEL","Bentonite/Birds Eye Gravel",400,"BENTONITE/BIRDS EYE GRAVEL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT/CM","Bentonite/Cement",410,"BENTONITE/CEMENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT/CLAY/SAND MIXTURE","Bentonite/Clay/Sand Mixture",420,"BENTONITE/CLAY/SAND MIXTURE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT/CC","Bentonite/Concrete",430,"BENTONITE/CONCRETE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Beotnite",440,"BEOTNITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Betnonite",450,"BETNONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Betonite",460,"BETONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT CLAY","Betonite Clay",470,"BETONITE CLAY"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","C33 SAND","C33 Sand",480,"C33 SAND"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CEKO GRANULAR 20 % SOLIDS","Ceko Granular 20 % Solids",490,"CEKO GRANULAR 20 % SOLIDS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CM","Cement",500,"CEMENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CM & BT","Cement & Bentonite",510,"CEMENT & BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CM AND BT","Cement And Bentonite",520,"CEMENT AND BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CM BARITE","Cement Barite",530,"CEMENT BARITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CM BT","Cement Bentonite",540,"CEMENT BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CM GR","Cement Grout",550,"CEMENT GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CM/BT","Cement/Bent",560,"CEMENT/BENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CM/BT","Cement/Bentonite",570,"CEMENT/BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CHIPS","Chips",580,"CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CLAY","Clay",590,"CLAY"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","COATED PELLETS","Coated Pellets",600,"COATED PELLETS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CC","Concrete",610,"CONCRETE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CC GR","Concrete Grout",620,"CONCRETE GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CC MIX (28MPA, SMALL ROCK FROM GRESTONE READY MIX INC)","Concrete Mix (28mpa, Small Rock From Grestone Ready Mix Inc)",630,"CONCRETE MIX (28MPA, SMALL ROCK FROM GRESTONE READY MIX INC)"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CC MIX (28MPA, SMALL ROCK FROM GRESTONE READY MIX)","Concrete Mix (28mpa, Small Rock From Grestone Ready Mix)",640,"CONCRETE MIX (28MPA, SMALL ROCK FROM GRESTONE READY MIX)"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CC WITH AGILIA BLOCK FILL","Concrete With Agilia Block Fill",650,"CONCRETE WITH AGILIA BLOCK FILL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","CUTTING & BT","Cutting & Bentonite",660,"CUTTING & BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","ENVIRO PLUG","Enviro Plug",670,"ENVIRO PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","ENVIROPLUG","Enviroplug",680,"ENVIROPLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GOPHER GR","Gopher Grout",690,"GOPHER GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR","Grout",700,"GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR & CM","Grout & Cement",710,"GROUT & CEMENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR - TREMIED","Grout - Tremied",720,"GROUT - TREMIED"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR AND BT","Grout And Bentonite",730,"GROUT AND BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR CHIPS","Grout Chips",740,"GROUT CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR MIXTURE","Grout Mixture",750,"GROUT MIXTURE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR SLURRY","Grout Slurry",760,"GROUT SLURRY"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR/BT","Grout/Bentonite",770,"GROUT/BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GR/BT CHIPS","Grout/Bentonite Chips",780,"GROUT/BENTONITE CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","GRWELL DF","Groutwell Df",790,"GROUTWELL DF"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","HOLE PLUG","Hole Plug",800,"HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","HOT CM/GR","Hot Cement/Grout",810,"HOT CEMENT/GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","NOT PROVIDED","Not Provided",820,"NOT PROVIDED"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","PEA GRAVEL","Pea Gravel",830,"PEA GRAVEL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","PORTLAND AND BT GR","Portland And Bentonite Grout",840,"PORTLAND AND BENTONITE GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","POWER GR","Power Grout",850,"POWER GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","SILTY CLAY","Silty Clay",860,"SILTY CLAY"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","NA BT","Sodium Bentonite",870,"SODIUM BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","NA BT AND CM","Sodium Bentonite And Cement",880,"SODIUM BENTONITE AND CEMENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","XYPEX CC","Xypex Concrete",890,"XYPEX CONCRETE"
