surficial_material_guid,code,description,is_hidden,sort_order 
"76d41820633011e7907ba6006ad3dba0","Clay","Clay","N","10"
"76d41d02633011e7907ba6006ad3dba0","Silt","Silt","N","20"
"76d41e2e633011e7907ba6006ad3dba0","Sand","Sand","N","30"
"76d41f00633011e7907ba6006ad3dba0","Sand-Fin","Fine Sand - Fine","N","40"
"76d41fc8633011e7907ba6006ad3dba0","Sand-Med","Medium Sand - Medium","N","50"
"76d42090633011e7907ba6006ad3dba0","Sand-Crse","Coarse Sand - Coarse","N","60"
"76d42158633011e7907ba6006ad3dba0","Grav","Gravel","N","70"
"76d4286a633011e7907ba6006ad3dba0","Grav-Fin","Fine Gravel","N","80"
"76d429be633011e7907ba6006ad3dba0","Grav-Med","Medium Gravel","N","90"
"76d42ac2633011e7907ba6006ad3dba0","Grav-Crse","Coarse Gravel","N","100"
"76d42c34633011e7907ba6006ad3dba0","Grav-Sm","Small Gravel","N","110"
"76d42d1a633011e7907ba6006ad3dba0","Grav-Lg","Large Gravel","N","120"
"76d42dd8633011e7907ba6006ad3dba0","Cobbles","Cobbles","N","130"
"76d42ea0633011e7907ba6006ad3dba0","Boulders","Boulders","N","140"
"76d4321a633011e7907ba6006ad3dba0","Fill","Fill","N","150"
"76d432f6633011e7907ba6006ad3dba0","Top Soil","Top Soil","N","160"
"76d43472633011e7907ba6006ad3dba0","Organic","Organic","N","170"